symbol_id,path,symbol,kind,line,training_eligibility
CWTV-SYM-000057,scripts/build_nexvox_engineering_corpus.py,parse_events,function,270,TRAINING_ELIGIBLE
CWTV-SYM-000058,scripts/build_nexvox_engineering_corpus.py,detect_symbols,function,279,TRAINING_ELIGIBLE
CWTV-SYM-000059,scripts/build_nexvox_engineering_corpus.py,Visitor,class,286,TRAINING_ELIGIBLE
CWTV-SYM-000060,scripts/build_nexvox_engineering_corpus.py,visit_FunctionDef,function,287,TRAINING_ELIGIBLE
CWTV-SYM-000061,scripts/build_nexvox_engineering_corpus.py,visit_AsyncFunctionDef,function,290,TRAINING_ELIGIBLE
CWTV-SYM-000062,scripts/build_nexvox_engineering_corpus.py,visit_ClassDef,function,293,TRAINING_ELIGIBLE
CWTV-SYM-000063,scripts/build_nexvox_engineering_corpus.py,dependency_rows,function,317,TRAINING_ELIGIBLE
CWTV-SYM-000064,scripts/build_nexvox_engineering_corpus.py,read_existing_conversation_rows,function,372,TRAINING_ELIGIBLE
CWTV-SYM-000065,scripts/build_nexvox_engineering_corpus.py,default_conversation_rows,function,380,TRAINING_ELIGIBLE
CWTV-SYM-000066,scripts/build_nexvox_engineering_corpus.py,chunk_text,function,412,TRAINING_ELIGIBLE
CWTV-SYM-000067,scripts/build_nexvox_engineering_corpus.py,build,function,429,TRAINING_ELIGIBLE
CWTV-SYM-000068,scripts/build_nexvox_engineering_corpus.py,add_recon,function,692,TRAINING_ELIGIBLE
CWTV-SYM-000069,scripts/build_nexvox_engineering_corpus.py,main,function,880,TRAINING_ELIGIBLE
CWTV-SYM-000070,scripts/build_nexvox_engineering_pdf.py,default_output,function,13,TRAINING_ELIGIBLE
CWTV-SYM-000071,scripts/build_nexvox_engineering_pdf.py,clean_inline,function,23,TRAINING_ELIGIBLE
CWTV-SYM-000072,scripts/build_nexvox_engineering_pdf.py,main,function,30,TRAINING_ELIGIBLE
CWTV-SYM-000073,scripts/build_nexvox_engineering_pdf.py,footer,function,71,TRAINING_ELIGIBLE
CWTV-SYM-000074,scripts/build_progress_dashboard.py,seconds_label,function,33,TRAINING_ELIGIBLE
CWTV-SYM-000075,scripts/build_progress_dashboard.py,event_time_label,function,49,TRAINING_ELIGIBLE
CWTV-SYM-000076,scripts/build_progress_dashboard.py,milestone_progress,function,55,TRAINING_ELIGIBLE
CWTV-SYM-000077,scripts/build_progress_dashboard.py,observed_difficulty,function,69,TRAINING_ELIGIBLE
CWTV-SYM-000078,scripts/build_progress_dashboard.py,session_metrics,function,84,TRAINING_ELIGIBLE
CWTV-SYM-000079,scripts/build_progress_dashboard.py,elapsed_metric,function,130,TRAINING_ELIGIBLE
CWTV-SYM-000080,scripts/build_progress_dashboard.py,chronological_events,function,139,TRAINING_ELIGIBLE
CWTV-SYM-000081,scripts/build_progress_dashboard.py,build_model,function,146,TRAINING_ELIGIBLE
CWTV-SYM-000082,scripts/build_progress_dashboard.py,render_markdown,function,215,TRAINING_ELIGIBLE
CWTV-SYM-000083,scripts/build_progress_dashboard.py,projection_paths,function,297,TRAINING_ELIGIBLE
CWTV-SYM-000084,scripts/build_progress_dashboard.py,render_outputs,function,304,TRAINING_ELIGIBLE
CWTV-SYM-000085,scripts/build_progress_dashboard.py,main,function,312,TRAINING_ELIGIBLE
CWTV-SYM-000086,scripts/check_backend_skeleton.py,fail,function,44,TRAINING_ELIGIBLE
CWTV-SYM-000087,scripts/check_ci_security_quality.py,ok,function,29,TRAINING_ELIGIBLE
CWTV-SYM-000088,scripts/check_ci_security_quality.py,fail,function,33,TRAINING_ELIGIBLE
CWTV-SYM-000089,scripts/check_ci_security_quality.py,read,function,37,TRAINING_ELIGIBLE
